# T0 0.200000 P 16.000000 z 0.187500 g 1.941626 alpha 0.010000 t0 0.300000 t1 0.000000 Process Q_GQ
t Rate 
0 0 0
0.010000000000000002 0.00021128944347796605 -1.973748641705852e-05
0.02000000000000001 0.00045902994883121484 -3.073951094495925e-05
0.03000000000000002 0.0007100853896759273 -2.3465119590261488e-05
0.04000000000000003 0.0010014133562097065 -2.6161263030201158e-05
0.05000000000000004 0.0012823550200057189 -3.3417254456477585e-05
0.060000000000000046 0.001575998891604178 -2.6722703248345915e-05
0.07000000000000005 0.0018920034893598063 -2.78784319754778e-05
0.08000000000000006 0.002195930059422515 -3.439885981577125e-05
0.09000000000000007 0.002498550289376595 -3.199421440523188e-05
0.10000000000000007 0.002816627526660177 -3.4329164187277966e-05
0.11000000000000008 0.003108997979133178 -3.563331810528536e-05
0.12000000000000009 0.0034046129046576843 -2.6076462875268373e-05
0.1300000000000001 0.0037205562409601623 -3.272796228209404e-05
0.1400000000000001 0.0040023030247607 -3.057718092494381e-05
0.1500000000000001 0.004298613376657501 -2.8349470453380675e-05
0.16000000000000011 0.004591727293660651 -2.7327760761503006e-05
0.17000000000000012 0.0048524439912041315 -3.098917397927319e-05
0.18000000000000013 0.00513039968915625 -2.2133057699102142e-05
0.19000000000000014 0.005410685468553104 -2.032543779008876e-05
0.20000000000000015 0.005678566801743036 -3.0335374251633414e-05
0.21000000000000016 0.005963392283332781 -2.1550034797005076e-05
0.22000000000000017 0.006237673704002662 -2.9708554555322488e-05
0.23000000000000018 0.006493558355725231 -2.0389441056904538e-05
0.24000000000000019 0.006759850071368571 -2.069522395298489e-05
0.25000000000000017 0.006997948305361798 -2.6287203765971816e-05
0.2600000000000002 0.007219378034141787 -1.981415964662399e-05
0.2700000000000002 0.007442443158672979 -2.222193720819582e-05
0.2800000000000002 0.007656372674527541 -2.6365844050219023e-05
0.2900000000000002 0.007854047759469983 -1.9033226792615834e-05
0.3000000000000002 0.008080660117847515 -1.686690292296983e-05
0.3100000000000002 0.00828098188888484 -2.6312878748170274e-05
0.32000000000000023 0.008469527698986795 -1.483902288604462e-05
0.33000000000000024 0.008679330448501476 -1.9896725481723457e-05
0.34000000000000025 0.008849886542682931 -2.0421399649981145e-05
0.35000000000000026 0.009018173013183086 -9.200436126274858e-06
0.36000000000000026 0.009201730129348886 -1.39557051501496e-05
0.3700000000000003 0.009348797881371869 -1.5029316848534993e-05
0.3800000000000003 0.009508471019396133 -8.386401451294934e-06
0.3900000000000003 0.009656738585406732 -1.1236459938895535e-05
0.4000000000000003 0.009777461599560394 -1.283571071635653e-05
0.4100000000000003 0.00990231643836373 -2.8643684854331303e-06
0.4200000000000003 0.010029182781021535 -1.3014336574621033e-05
0.4300000000000003 0.01012588824659104 -1.0592195938231158e-05
0.44000000000000034 0.010247626487910355 -1.0799877404966962e-05
0.45000000000000034 0.010373182019867365 -1.5953833941232884e-05
0.46000000000000035 0.010465849275961506 -9.393763869198699e-06
0.47000000000000036 0.010584854930977036 -1.0973220141829304e-05
