# T0 0.200000 P 16.000000 z 0.500000 g 1.941626 alpha 0.010000 t0 0.300000 t1 0.000000 Process Q_GQ
t Rate 
0 0 0
0.010000000000000002 0.00015028007630323012 -1.3991339592482805e-05
0.02000000000000001 0.00032753964424911495 -2.212401603434816e-05
0.03000000000000002 0.0005072839609039614 -1.6787667184299223e-05
0.04000000000000003 0.0007170527811508593 -1.8813159450290005e-05
0.05000000000000004 0.0009197428524947448 -2.420705903657689e-05
0.060000000000000046 0.0011324703956189946 -1.9348992170778673e-05
0.07000000000000005 0.0013625853687751234 -2.0257261428468804e-05
0.08000000000000006 0.0015846909540522913 -2.523794542098651e-05
0.09000000000000007 0.001806736716624238 -2.3528108476157618e-05
0.10000000000000007 0.0020408895706482844 -2.5214532345866573e-05
0.11000000000000008 0.0022570589168685743 -2.6415487894169195e-05
0.12000000000000009 0.0024762415968217657 -1.9454977599229345e-05
0.1300000000000001 0.002711438490179753 -2.4418650237638916e-05
0.1400000000000001 0.0029218986238631157 -2.2937083045305225e-05
0.1500000000000001 0.003143385304829975 -2.1378271807860356e-05
0.16000000000000011 0.003363315640478916 -2.0498390714774207e-05
0.17000000000000012 0.0035596949280670928 -2.3214547477539132e-05
0.18000000000000013 0.0037691215458390166 -1.673306540147081e-05
0.19000000000000014 0.003980110229401168 -1.5480016968300904e-05
0.20000000000000015 0.004181509754975618 -2.289707489396952e-05
0.21000000000000016 0.004396032560611633 -1.6252865883555415e-05
0.22000000000000017 0.004603494990186621 -2.2445639641381805e-05
0.23000000000000018 0.00479582173707867 -1.5525562451806224e-05
0.24000000000000019 0.004996518146517707 -1.541372953946761e-05
0.25000000000000017 0.005176712702635717 -1.984309813160296e-05
0.2600000000000002 0.005342358952555649 -1.4715380371154059e-05
0.2700000000000002 0.005510691316965318 -1.643634112087275e-05
0.2800000000000002 0.005670326829335339 -1.9638069697287645e-05
0.2900000000000002 0.005818147526433541 -1.4073138558647925e-05
0.3000000000000002 0.005985956390613426 -1.2577558216661858e-05
0.3100000000000002 0.006135157432259582 -1.9458755144878895e-05
0.32000000000000023 0.006273404734113115 -1.120748693629256e-05
0.33000000000000024 0.006427924320272863 -1.4419050221163923e-05
0.34000000000000025 0.006552310066682759 -1.4967298430377043e-05
0.35000000000000026 0.006675208848525815 -6.654125892457084e-06
0.36000000000000026 0.006807792112878586 -9.993797342727241e-06
0.3700000000000003 0.006914497502075161 -1.0950349755774712e-05
0.3800000000000003 0.00702741792260511 -5.823926718113125e-06
0.3900000000000003 0.0071337882975128376 -7.925928175353189e-06
0.4000000000000003 0.007218706361662579 -9.023211797673514e-06
0.4100000000000003 0.007304776604001292 -1.7904357786594632e-06
0.4200000000000003 0.007393093295412473 -8.760349789417934e-06
0.4300000000000003 0.007457663597769765 -7.068493899355273e-06
0.44000000000000034 0.00754050972944912 -7.376326490862034e-06
0.45000000000000034 0.0076262209683532894 -1.0925503316004496e-05
0.46000000000000035 0.0076870513392384085 -6.326860653816518e-06
0.47000000000000036 0.007767449310982217 -7.328856542806322e-06
0.48000000000000037 0.007829728118266351 -6.322492032312041e-06
0.4900000000000004 0.007871749091800015 -5.686010895762997e-06
0.5000000000000003 0.0079258197351277 -5.101526242798013e-06
0.5100000000000003 0.00795888076593704 -4.108140162000992e-06
0.5200000000000004 0.00798808129655328 -3.5481830720548307e-06
0.5300000000000004 0.008032938057370393 -1.311070907261333e-06
0.5400000000000004 0.00806219819154604 -2.900255021935985e-06
0.5500000000000004 0.00809255853734143 -6.297511471273914e-07
0.5600000000000004 0.008135158964549185 -2.917912658557953e-06
0.5700000000000004 0.008157741895386426 -7.704184803222075e-06
0.5800000000000004 0.008174361121140391 4.154725025845921e-06
0.5900000000000004 0.00820878987881218 -1.0874478548732885e-06
0.6000000000000004 0.008225403918210316 -4.906037538904978e-06
0.6100000000000004 0.008242435295192719 6.241497204489965e-09
0.6200000000000004 0.00826959407843867 -4.603643244657785e-06
0.6300000000000004 0.00826968107826214 -4.606128626825218e-06
0.6400000000000005 0.008274742820654931 -8.456350730386142e-07
0.6500000000000005 0.008283453008789226 -5.012440523807088e-07
0.6600000000000005 0.008270134026594343 -2.9175896772652005e-06
0.6700000000000005 0.008276270660564248 -5.015275886359472e-07
0.6800000000000005 0.008283683986856727 -3.974460914109301e-06
0.6900000000000005 0.008282123523401186 -3.324465232367249e-06
0.7000000000000005 0.008299810253421011 2.1797002716459485e-06
0.7100000000000005 0.008308975151988737 3.2118757534692344e-07
0.7200000000000005 0.008308758011907634 -1.2025048802388055e-06
0.7300000000000005 0.008312052211387625 2.6862019309667473e-06
0.7400000000000005 0.008306322959204982 6.253632664019598e-07
0.7500000000000006 0.008289086036241624 -8.609444191211291e-07
0.7600000000000006 0.00828650937216232 5.116311386672845e-06
0.7700000000000006 0.008283426300551542 -2.4054771910198003e-06
0.7800000000000006 0.00826647631331149 1.8648485621275412e-06
