# T0 = 0.400000 P = 16.000000 z = 0.500000 g = 1.941626 alpha = 1.000000 t0 = 0.100000 Process = G_GG
t Rate
0.0 0.0
0.004 4.57703e-05
0.323064 0.00116527
0.642128 0.00130265
0.961191 0.00135995
1.28026 0.00139343
1.59932 0.00141768
1.91838 0.00143306
2.23745 0.00144558
2.55651 0.0014566
2.87557 0.00146419
3.19464 0.00147083
3.5137 0.00147726
3.83277 0.00148272
4.15183 0.00148689
4.47089 0.00149055
4.78996 0.00149466
5.10902 0.00149743
5.42809 0.00149951
5.74715 0.00150284
6.06621 0.00150395
6.38528 0.00150701
6.70434 0.00150778
7.0234 0.0015105
7.34247 0.00151156
7.66153 0.00151164
7.9806 0.00151395
8.29966 0.0015153
8.61872 0.00151645
8.93779 0.00151632
9.25685 0.00151727
9.57591 0.00151786
9.89498 0.00151864
10.214 0.00151907
10.5331 0.0015196
10.8522 0.00152048
11.1712 0.00152109
11.4903 0.00152179
11.8094 0.00152208
12.1284 0.00152259
12.4475 0.00152299
12.7666 0.00152275
13.0856 0.00152279
13.4047 0.00152247
13.7237 0.00152319
14.0428 0.00152405
14.3619 0.00152307
14.6809 0.00152348
15 0.00152353
