# T0 = 0.400000 P = 16.000000 z = 0.500000 g = 1.941626 alpha = 1.000000 t0 = 0.300000 Process = G_GG
t Rate
0.0 0.0
0.004 4.8966e-05
0.323064 0.0028505
0.642128 0.00355649
0.961191 0.00387118
1.28026 0.00405062
1.59932 0.00416982
1.91838 0.00424523
2.23745 0.0043018
2.55651 0.00434603
2.87557 0.004376
3.19464 0.00439768
3.5137 0.00441897
3.83277 0.00443428
4.15183 0.00444402
4.47089 0.00445251
4.78996 0.00446171
5.10902 0.00446606
5.42809 0.0044664
5.74715 0.0044719
6.06621 0.00447002
6.38528 0.00447286
6.70434 0.00446969
7.0234 0.00447279
7.34247 0.00446877
7.66153 0.00446357
7.9806 0.00446476
8.29966 0.00446346
8.61872 0.00446012
8.93779 0.00445399
9.25685 0.00445051
9.57591 0.00444656
9.89498 0.00444311
10.214 0.00443897
10.5331 0.00443501
10.8522 0.00443086
11.1712 0.00442768
11.4903 0.00442386
11.8094 0.00441962
12.1284 0.00441603
12.4475 0.00441182
12.7666 0.00440591
13.0856 0.00440046
13.4047 0.00439382
13.7237 0.00439147
14.0428 0.00438845
14.3619 0.0043813
14.6809 0.00437661
15 0.0043718
