# T0 = 0.400000 P = 16.000000 z = 0.010000 g = 1.941626 alpha = 1.000000 t0 = 0.100000 Process = G_GG
t Rate
0.0 0.0
0.004 7.79988e-05
0.323064 0.00883936
0.642128 0.0139543
0.961191 0.0168516
1.28026 0.0185215
1.59932 0.0194943
1.91838 0.0199723
2.23745 0.0202019
2.55651 0.0202452
2.87557 0.0201428
3.19464 0.0199124
3.5137 0.0197289
3.83277 0.0194456
4.15183 0.0191248
4.47089 0.018824
4.78996 0.0185349
5.10902 0.0182268
5.42809 0.0178777
5.74715 0.0175955
6.06621 0.0173174
6.38528 0.0169794
6.70434 0.0167214
7.0234 0.0164541
7.34247 0.0161403
7.66153 0.0159091
7.9806 0.0156777
8.29966 0.0154294
8.61872 0.0151609
8.93779 0.0149587
9.25685 0.0147093
9.57591 0.0145127
9.89498 0.014309
10.214 0.0141542
10.5331 0.0139621
10.8522 0.0137412
11.1712 0.0135816
11.4903 0.0133973
11.8094 0.0132367
12.1284 0.0130884
12.4475 0.0129367
12.7666 0.0128093
13.0856 0.0126554
13.4047 0.0125158
13.7237 0.0123783
14.0428 0.0122262
14.3619 0.0121544
14.6809 0.0120139
15 0.0118666
