# T0 = 0.400000 P = 16.000000 z = 0.010000 g = 1.941626 alpha = 1.000000 t0 = 0.100000 Process = G_GG
t Rate
0.0 0.0
0.004 7.80012e-05
0.323064 0.0088448
0.642128 0.013859
0.961191 0.0165513
1.28026 0.0179513
1.59932 0.0186261
1.91838 0.0188169
2.23745 0.0187642
2.55651 0.0185491
2.87557 0.0182248
3.19464 0.017832
3.5137 0.0174534
3.83277 0.0170399
4.15183 0.016626
4.47089 0.0162275
4.78996 0.0158526
5.10902 0.0154929
5.42809 0.0151307
5.74715 0.0148213
6.06621 0.0145096
6.38528 0.0142097
6.70434 0.0139364
7.0234 0.0136776
7.34247 0.0134329
7.66153 0.0132056
7.9806 0.0129873
8.29966 0.0127893
8.61872 0.0125807
8.93779 0.0124166
9.25685 0.0122277
9.57591 0.0120703
9.89498 0.011918
10.214 0.0117833
10.5331 0.0116441
10.8522 0.0114989
11.1712 0.0113777
11.4903 0.0112505
11.8094 0.0111473
12.1284 0.0110345
12.4475 0.0109283
12.7666 0.0108232
13.0856 0.0107279
13.4047 0.0106373
13.7237 0.0105519
14.0428 0.0104542
14.3619 0.0103772
14.6809 0.0102878
15 0.0102186
