# T0 = 0.400000 P = 16.000000 z = 0.500000 g = 1.941626 alpha = 1.000000 t0 = 0.300000 Process = G_GG
t Rate
0.0 0.0
0.004 4.90063e-05
0.323064 0.00308488
0.642128 0.00380462
0.961191 0.00394392
1.28026 0.00386809
1.59932 0.00371705
1.91838 0.00353899
2.23745 0.00336764
2.55651 0.00320686
2.87557 0.00306157
3.19464 0.00293346
3.5137 0.00281804
3.83277 0.00271651
4.15183 0.00262446
4.47089 0.00254133
4.78996 0.00246746
5.10902 0.00239947
5.42809 0.00233697
5.74715 0.00228129
6.06621 0.00222775
6.38528 0.00217944
6.70434 0.00213325
7.0234 0.00209042
7.34247 0.00205086
7.66153 0.00201237
7.9806 0.00197765
8.29966 0.00194367
8.61872 0.00191176
8.93779 0.00188149
9.25685 0.00185212
9.57591 0.00182508
9.89498 0.00179853
10.214 0.00177355
10.5331 0.0017499
10.8522 0.00172638
11.1712 0.00170439
11.4903 0.00168281
11.8094 0.00166224
12.1284 0.00164277
12.4475 0.00162343
12.7666 0.00160545
13.0856 0.00158769
13.4047 0.00157029
13.7237 0.00155391
14.0428 0.0015376
14.3619 0.00152242
14.6809 0.00150734
15 0.00149242
