# T0 = 0.400000 P = 16.000000 z = 0.500000 g = 1.941626 alpha = 1.000000 t0 = 0.100000 Process = G_GG
t Rate
0.0 0.0
0.004 4.58077e-05
0.323064 0.00126026
0.642128 0.00145527
0.961191 0.00153811
1.28026 0.00157491
1.59932 0.00158792
1.91838 0.00158328
2.23745 0.00156986
2.55651 0.00154955
2.87557 0.0015246
3.19464 0.00149791
3.5137 0.00146909
3.83277 0.00144006
4.15183 0.00141067
4.47089 0.00138135
4.78996 0.00135314
5.10902 0.00132537
5.42809 0.00129866
5.74715 0.00127327
6.06621 0.00124836
6.38528 0.00122501
6.70434 0.00120225
7.0234 0.00118056
7.34247 0.00116013
7.66153 0.00114004
7.9806 0.00112162
8.29966 0.00110341
8.61872 0.00108633
8.93779 0.0010698
9.25685 0.00105396
9.57591 0.00103909
9.89498 0.0010245
10.214 0.00101081
10.5331 0.000997636
10.8522 0.00098486
11.1712 0.000972641
11.4903 0.000960792
11.8094 0.000949398
12.1284 0.000938531
12.4475 0.000927941
12.7666 0.000917915
13.0856 0.000908105
13.4047 0.000898522
13.7237 0.000889398
14.0428 0.000880487
14.3619 0.00087199
14.6809 0.000863681
15 0.000855422
