# T0 = 0.400000 P = 16.000000 z = 0.010000 g = 1.941626 alpha = 0.010000 Process = G_GG
t Rate
0 0 0
0.001 9.61931e-06 -9.61931e-06
0.002 3.35597e-05 -2.39404e-05
0.003 5.59216e-05 -2.2362e-05
0.004 7.84761e-05 -2.25545e-05
0.005 0.000109883 -3.14067e-05
0.006 0.00014327 -3.33867e-05
0.007 0.000175853 -3.2583e-05
0.008 0.000203435 -2.75827e-05
0.009 0.000234951 -3.15158e-05
0.01 0.000258917 -2.39657e-05
0.011 0.000285064 -2.61468e-05
0.012 0.00031049 -2.54269e-05
0.013 0.000334175 -2.36844e-05
0.014 0.00036143 -2.72554e-05
0.015 0.000388157 -2.67265e-05
0.016 0.000419225 -3.10682e-05
0.017 0.000452112 -3.28875e-05
0.018 0.000489209 -3.70967e-05
0.019 0.00052075 -3.15413e-05
0.02 0.00055764 -3.689e-05
0.021 0.000586978 -2.93376e-05
0.022 0.000624499 -3.75212e-05
0.023 0.000653753 -2.92535e-05
0.024 0.000681227 -2.7474e-05
0.025 0.000709656 -2.84289e-05
0.026 0.000735643 -2.59871e-05
0.027 0.000769939 -3.42961e-05
0.028 0.000798866 -2.89274e-05
0.029 0.000829518 -3.06516e-05
0.03 0.000857338 -2.78204e-05
0.031 0.000885024 -2.76857e-05
0.032 0.000920984 -3.596e-05
0.033 0.000964178 -4.31938e-05
0.034 0.000992009 -2.78309e-05
0.035 0.00102741 -3.53992e-05
0.036 0.00106216 -3.4755e-05
0.037 0.0011034 -4.12372e-05
0.038 0.00114174 -3.8345e-05
0.039 0.00117136 -2.96129e-05
0.04 0.00120204 -3.06856e-05
0.041 0.00123075 -2.87066e-05
0.042 0.00125625 -2.55043e-05
0.043 0.00128648 -3.02207e-05
0.044 0.00131985 -3.33761e-05
0.045 0.0013464 -2.65448e-05
0.046 0.00137795 -3.15565e-05
0.047 0.00141101 -3.30566e-05
0.048 0.00145723 -4.6216e-05
0.049 0.00149217 -3.49417e-05
0.05 0.00153149 -3.93248e-05
0.051 0.00156608 -3.45923e-05
0.052 0.00160217 -3.60827e-05
0.053 0.00163965 -3.74788e-05
0.054 0.00167465 -3.50001e-05
0.055 0.00171033 -3.56882e-05
0.056 0.00174199 -3.16566e-05
0.057 0.00177209 -3.00982e-05
0.058 0.00180234 -3.0248e-05
0.059 0.00184178 -3.94399e-05
0.06 0.0018728 -3.10246e-05
0.061 0.00190773 -3.49262e-05
0.062 0.001936 -2.82721e-05
0.063 0.00197133 -3.53273e-05
0.064 0.00201304 -4.17106e-05
0.065 0.00205384 -4.08006e-05
0.066 0.00209192 -3.80819e-05
0.067 0.00212885 -3.69269e-05
0.068 0.00216937 -4.05212e-05
0.069 0.00220606 -3.66909e-05
0.07 0.00223802 -3.1966e-05
0.071 0.00226941 -3.13874e-05
0.072 0.00230291 -3.3497e-05
0.073 0.002333 -3.00948e-05
0.074 0.00236318 -3.01804e-05
0.075 0.00239429 -3.11009e-05
